instance_name,cut_mode,initial_gap,final_gap,optimal_solution,initial_lp_solution,final_lp_solution,gap_closure,total_cuts,total_iterations,total_time_ms,final_status,solution_category
inst_LARGE_UFL_0,GFC,0.054277472502255536,0.05392800006576196,8953.0,8467.0537886873,8470.182615411228,0.0003494724364935739,555,1,1064,optimal,Limite Raggiunto (Gap Residuo)
inst_LARGE_UFL_0,GMI,0.054277472502255536,0.051360411423098204,8953.0,8467.0537886873,8493.170236528997,0.002917061079157332,555,1,945,optimal,Limite Raggiunto (Gap Residuo)
inst_LARGE_UFL_0,BEST,0.054277472502255536,0.051360411423098,8953.0,8467.0537886873,8493.170236528998,0.0029170610791575333,1110,1,926,optimal,Limite Raggiunto (Gap Residuo)
inst_LARGE_UFL_1,GFC,0.0512053443280863,0.05079268351858381,8097.0,7682.39032697548,7685.731641550022,0.00041266080950248807,608,1,702,optimal,Limite Raggiunto (Gap Residuo)
inst_LARGE_UFL_1,GMI,0.0512053443280863,0.04889970227141787,8097.0,7682.39032697548,7701.059110708325,0.0023056420566684305,608,1,717,optimal,Limite Raggiunto (Gap Residuo)
inst_LARGE_UFL_1,BEST,0.0512053443280863,0.04889970227141809,8097.0,7682.39032697548,7701.059110708323,0.0023056420566682084,1216,1,693,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_0e98fdbf,GFC,0.06658096897181497,0.06628017780344761,8953.0,8356.900584795334,8359.593568125727,0.0003007911683673564,456,1,940,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_0e98fdbf,GMI,0.06658096897181497,0.06508156447212114,8953.0,8356.900584795334,8370.324753281093,0.0014994044996938238,456,1,921,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_0e98fdbf,BEST,0.06658096897181497,0.06508156447211993,8953.0,8356.900584795334,8370.324753281104,0.0014994044996950312,912,1,966,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_2065a5a9,GFC,0.0494965140579168,0.04909601733756704,7695.0,7314.124324324325,7317.206146587417,0.0004004967203497592,489,1,583,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_2065a5a9,GMI,0.0494965140579168,0.04766071636000355,7695.0,7314.124324324325,7328.250787609768,0.001835797697913255,489,1,598,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_2065a5a9,BEST,0.0494965140579168,0.047660716360003665,7695.0,7314.124324324325,7328.250787609767,0.0018357976979131371,978,1,583,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_33353b88,GFC,0.048575560920338275,0.04835265569867562,8512.0,8098.524825446076,8100.422194692868,0.00022290522166265592,607,1,666,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_33353b88,GMI,0.048575560920338275,0.04727265456134275,8512.0,8098.524825446076,8109.615164373846,0.0013029063589955273,607,1,678,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_33353b88,BEST,0.048575560920338275,0.04727265456134285,8512.0,8098.524825446076,8109.615164373845,0.0013029063589954232,1214,1,421,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_e7545a9b,GFC,0.05062663030975129,0.0504071680811802,7910.0,7509.543354249862,7511.27930047786,0.0002194622285710962,476,1,534,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_e7545a9b,GMI,0.05062663030975129,0.04891109623952125,7910.0,7509.543354249862,7523.113228745382,0.0017155340702300417,476,1,548,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_e7545a9b,BEST,0.05062663030975129,0.04891109623952102,7910.0,7509.543354249862,7523.113228745384,0.0017155340702302707,952,1,495,optimal,Limite Raggiunto (Gap Residuo)
inst_MEDIUM_UFL_0,GFC,0.028051554207731002,0.0,1319.0,1282.0,1319.0,0.028051554207731002,539,6,2156,optimal,Risolto con Tagli
inst_MEDIUM_UFL_0,GMI,0.028051554207731002,0.0,1319.0,1282.0,1319.0,0.028051554207731002,539,6,1388,optimal,Risolto con Tagli
inst_MEDIUM_UFL_0,BEST,0.028051554207731002,0.006065200909779677,1319.0,1282.0,1311.0,0.021986353297951323,650,4,2118,optimal,Limite Raggiunto (Gap Residuo)
inst_MEDIUM_UFL_1,GFC,0.026014166130069946,0.02202035211693721,1553.0,1512.5999999999988,1518.8023931623943,0.003993814013132736,604,3,1821,optimal,Limite Raggiunto (Gap Residuo)
