instance_name,cut_mode,initial_gap,final_gap,optimal_solution,initial_lp_solution,final_lp_solution,gap_closure,total_cuts,total_iterations,total_time_ms,final_status,solution_category
LARGE_UFL_instance_0e98fdbf,BEST,0.0666,0.0651,8953.0000,8356.9006,8370.3248,0.0015,912,1,953,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_2065a5a9,BEST,0.0495,0.0477,7695.0000,7314.1243,7328.2508,0.0018,978,1,575,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_33353b88,BEST,0.0486,0.0473,8512.0000,8098.5248,8109.6152,0.0013,1214,1,703,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_e7545a9b,BEST,0.0506,0.0489,7910.0000,7509.5434,7523.1132,0.0017,952,1,974,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_065bda16,BEST,0.0136,0.0000,1248.0000,1231.0000,1248.0000,0.0136,618,3,2184,optimal,Risolto con Tagli
MEDIUM_UFL_instance_1200aa77,BEST,0.0220,0.0077,1135.0000,1110.0000,1126.2500,0.0143,528,3,1738,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_1ad6e12d,BEST,0.0000,0.0000,1136.0000,1136.0000,1136.0000,0.0000,0,0,7,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_245eafe4,BEST,0.0000,0.0000,1139.0000,1139.0000,1139.0000,0.0000,0,0,7,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_470c3fe8,BEST,0.0144,0.0027,1315.0000,1296.0000,1311.5000,0.0118,640,3,2586,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_489b4065,BEST,0.0000,0.0000,1321.0000,1321.0000,1321.0000,0.0000,0,0,12,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_573e7400,BEST,0.0000,0.0000,1102.0000,1102.0000,1102.0000,0.0000,0,0,5,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_59fb2758,BEST,0.0332,0.0233,1345.0000,1300.3333,1313.6250,0.0099,522,2,1699,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_7cbc7aa0,BEST,0.0000,0.0000,1169.0000,1169.0000,1169.0000,0.0000,0,0,16,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_8939bc48,BEST,0.0189,0.0061,1483.0000,1455.0000,1474.0174,0.0128,572,2,1549,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_922f56ab,BEST,0.0000,0.0000,1122.0000,1122.0000,1122.0000,0.0000,0,0,5,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_964e121b,BEST,0.0142,0.0003,1479.0000,1458.0000,1478.5000,0.0139,522,3,2382,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_976d851c,BEST,0.0000,0.0000,1244.0000,1244.0000,1244.0000,0.0000,0,0,8,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_a4c50fe2,BEST,0.0000,0.0000,1083.0000,1083.0000,1083.0000,0.0000,0,0,5,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_a5b0d7fc,BEST,0.0000,0.0000,1325.0000,1325.0000,1325.0000,0.0000,0,0,14,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_b03aae2c,BEST,0.0149,0.0057,1429.0000,1407.6667,1420.8333,0.0092,462,2,1634,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_bb362a12,BEST,0.0000,0.0000,1417.0000,1417.0000,1417.0000,0.0000,0,0,8,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_cd72678f,BEST,0.0000,0.0000,1191.0000,1191.0000,1191.0000,0.0000,0,0,13,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_dc9b0374,BEST,0.0079,0.0000,1207.0000,1197.5000,1207.0000,0.0079,32,1,11,optimal,Risolto con Tagli
MEDIUM_UFL_instance_e13b4c31,BEST,0.0214,0.0007,1354.0000,1325.0000,1353.0000,0.0207,662,4,2938,optimal,Limite Raggiunto (Gap Residuo)
SMALL_UFL_instance_4c5e54b6,BEST,0.0000,0.0000,245.0000,245.0000,245.0000,0.0000,0,0,1,optimal,LP Ottimo Intero
SMALL_UFL_instance_51b298d0,BEST,0.0489,0.0000,424.0000,403.2500,423.9983,0.0489,345,3,1511,optimal,Risolto con Tagli
SMALL_UFL_instance_653c6932,BEST,0.0143,0.0009,419.0000,413.0000,418.6250,0.0134,112,2,330,optimal,Limite Raggiunto (Gap Residuo)
SMALL_UFL_instance_6faaf0c6,BEST,0.0000,0.0000,352.0000,352.0000,352.0000,0.0000,0,0,1,optimal,LP Ottimo Intero
SMALL_UFL_instance_7901a858,BEST,0.0000,0.0000,304.0000,304.0000,304.0000,0.0000,0,0,1,optimal,LP Ottimo Intero
SMALL_UFL_instance_7fb7f8e4,BEST,0.0009,0.0000,375.0000,374.6667,375.0000,0.0009,47,1,3,optimal,Risolto con Tagli
SMALL_UFL_instance_84436f99,BEST,0.0000,0.0000,380.0000,380.0000,380.0000,0.0000,0,0,2,optimal,LP Ottimo Intero
SMALL_UFL_instance_a3e14f7d,BEST,0.0200,0.0035,425.0000,416.5000,423.5000,0.0165,141,3,519,optimal,Limite Raggiunto (Gap Residuo)
SMALL_UFL_instance_a96a71e7,BEST,0.0000,0.0000,301.0000,301.0000,301.0000,0.0000,0,0,0,optimal,LP Ottimo Intero
SMALL_UFL_instance_d6937c73,BEST,0.0000,0.0000,399.0000,399.0000,399.0000,0.0000,0,0,2,optimal,LP Ottimo Intero
cap101,BEST,0.0000,0.0000,796648.4375,796648.4375,796648.4375,0.0000,0,0,5,optimal,LP Ottimo Intero
cap102,BEST,0.0000,0.0000,854704.2000,854704.2000,854704.2000,0.0000,0,0,6,optimal,LP Ottimo Intero
cap103,BEST,0.0000,0.0000,893782.1125,893782.1125,893782.1125,0.0000,0,0,5,optimal,LP Ottimo Intero
cap104,BEST,0.0000,0.0000,928941.7500,928941.7500,928941.7500,0.0000,0,0,6,optimal,LP Ottimo Intero
cap111,BEST,0.0000,0.0000,793439.5625,793439.5625,793439.5625,0.0000,0,0,45,optimal,LP Ottimo Intero
cap112,BEST,0.0000,0.0000,851495.3250,851495.3250,851495.3250,0.0000,0,0,43,optimal,LP Ottimo Intero
cap113,BEST,0.0000,0.0000,893076.7125,893076.7125,893076.7125,0.0000,0,0,42,optimal,LP Ottimo Intero
cap114,BEST,0.0000,0.0000,928941.7500,928941.7500,928941.7500,0.0000,0,0,43,optimal,LP Ottimo Intero
cap121,BEST,0.0000,0.0000,793439.5625,793439.5625,793439.5625,0.0000,0,0,46,optimal,LP Ottimo Intero
cap122,BEST,0.0000,0.0000,851495.3250,851495.3250,851495.3250,0.0000,0,0,43,optimal,LP Ottimo Intero
cap123,BEST,0.0000,0.0000,893076.7125,893076.7125,893076.7125,0.0000,0,0,47,optimal,LP Ottimo Intero
cap124,BEST,0.0000,0.0000,928941.7500,928941.7500,928941.7500,0.0000,0,0,43,optimal,LP Ottimo Intero
cap131,BEST,0.0000,0.0000,793439.5625,793439.5625,793439.5625,0.0000,0,0,45,optimal,LP Ottimo Intero
cap132,BEST,0.0000,0.0000,851495.3250,851495.3250,851495.3250,0.0000,0,0,46,optimal,LP Ottimo Intero
cap133,BEST,0.0000,0.0000,893076.7125,893076.7125,893076.7125,0.0000,0,0,43,optimal,LP Ottimo Intero
cap134,BEST,0.0000,0.0000,928941.7500,928941.7500,928941.7500,0.0000,0,0,44,optimal,LP Ottimo Intero
cap41,BEST,0.0000,0.0000,932615.7500,932615.7500,932615.7500,0.0000,0,0,4,optimal,LP Ottimo Intero
cap42,BEST,0.0000,0.0000,977799.4000,977799.4000,977799.4000,0.0000,0,0,3,optimal,LP Ottimo Intero
cap43,BEST,0.0000,0.0000,1010641.4500,1010641.4500,1010641.4500,0.0000,0,0,4,optimal,LP Ottimo Intero
cap44,BEST,0.0000,0.0000,1034976.9750,1034976.9750,1034976.9750,0.0000,0,0,4,optimal,LP Ottimo Intero
cap51,BEST,0.0000,0.0000,1010641.4500,1010641.4500,1010641.4500,0.0000,0,0,4,optimal,LP Ottimo Intero
cap61,BEST,0.0000,0.0000,932615.7500,932615.7500,932615.7500,0.0000,0,0,4,optimal,LP Ottimo Intero
cap62,BEST,0.0000,0.0000,977799.4000,977799.4000,977799.4000,0.0000,0,0,3,optimal,LP Ottimo Intero
cap63,BEST,0.0000,0.0000,1010641.4500,1010641.4500,1010641.4500,0.0000,0,0,4,optimal,LP Ottimo Intero
cap64,BEST,0.0000,0.0000,1034976.9750,1034976.9750,1034976.9750,0.0000,0,0,5,optimal,LP Ottimo Intero
cap71,BEST,0.0000,0.0000,932615.7500,932615.7500,932615.7500,0.0000,0,0,4,optimal,LP Ottimo Intero
cap72,BEST,0.0000,0.0000,977799.4000,977799.4000,977799.4000,0.0000,0,0,3,optimal,LP Ottimo Intero
cap73,BEST,0.0000,0.0000,1010641.4500,1010641.4500,1010641.4500,0.0000,0,0,4,optimal,LP Ottimo Intero
cap74,BEST,0.0000,0.0000,1034976.9750,1034976.9750,1034976.9750,0.0000,0,0,6,optimal,LP Ottimo Intero
cap81,BEST,0.0000,0.0000,796648.4375,796648.4375,796648.4375,0.0000,0,0,4,optimal,LP Ottimo Intero
cap82,BEST,0.0000,0.0000,854704.2000,854704.2000,854704.2000,0.0000,0,0,5,optimal,LP Ottimo Intero
cap83,BEST,0.0000,0.0000,893782.1125,893782.1125,893782.1125,0.0000,0,0,5,optimal,LP Ottimo Intero
cap84,BEST,0.0000,0.0000,928941.7500,928941.7500,928941.7500,0.0000,0,0,7,optimal,LP Ottimo Intero
cap91,BEST,0.0000,0.0000,796648.4375,796648.4375,796648.4375,0.0000,0,0,5,optimal,LP Ottimo Intero
cap92,BEST,0.0000,0.0000,854704.2000,854704.2000,854704.2000,0.0000,0,0,7,optimal,LP Ottimo Intero
cap93,BEST,0.0000,0.0000,893782.1125,893782.1125,893782.1125,0.0000,0,0,8,optimal,LP Ottimo Intero
cap94,BEST,0.0000,0.0000,928941.7500,928941.7500,928941.7500,0.0000,0,0,5,optimal,LP Ottimo Intero
inst_LARGE_UFL_0,BEST,0.0543,0.0514,8953.0000,8467.0538,8493.1702,0.0029,1110,1,936,optimal,Limite Raggiunto (Gap Residuo)
inst_LARGE_UFL_1,BEST,0.0512,0.0489,8097.0000,7682.3903,7701.0591,0.0023,1216,1,697,optimal,Limite Raggiunto (Gap Residuo)
inst_MEDIUM_UFL_0,BEST,0.0281,0.0061,1319.0000,1282.0000,1311.0000,0.0220,650,4,3503,optimal,Limite Raggiunto (Gap Residuo)
inst_MEDIUM_UFL_1,BEST,0.0260,0.0125,1553.0000,1512.6000,1533.6057,0.0135,696,2,1966,optimal,Limite Raggiunto (Gap Residuo)
inst_MEDIUM_UFL_2,BEST,0.0124,0.0000,1214.0000,1199.0000,1214.0000,0.0124,284,2,548,optimal,Risolto con Tagli
inst_MEDIUM_UFL_3,BEST,0.0100,0.0000,1096.0000,1085.0000,1096.0000,0.0100,192,2,818,optimal,Risolto con Tagli
inst_MEDIUM_UFL_4,BEST,0.0055,0.0003,1170.0000,1163.6000,1169.6800,0.0052,168,2,972,optimal,Limite Raggiunto (Gap Residuo)
inst_MEDIUM_UFL_5,BEST,0.0209,0.0067,1247.0000,1221.0000,1238.5882,0.0141,652,3,2518,optimal,Limite Raggiunto (Gap Residuo)
inst_MEDIUM_UFL_6,BEST,0.0000,0.0000,1214.0000,1214.0000,1214.0000,0.0000,0,0,9,optimal,LP Ottimo Intero
inst_MEDIUM_UFL_7,BEST,0.0203,0.0040,1381.0000,1353.0000,1375.5000,0.0163,450,2,1478,optimal,Limite Raggiunto (Gap Residuo)
inst_MEDIUM_UFL_8,BEST,0.0303,0.0166,1438.0000,1394.5000,1414.0909,0.0136,482,3,2787,optimal,Limite Raggiunto (Gap Residuo)
inst_MEDIUM_UFL_9,BEST,0.0185,0.0000,1136.0000,1115.0000,1136.0000,0.0185,520,3,1359,optimal,Risolto con Tagli
inst_SMALL_UFL_1,BEST,0.0102,0.0000,394.0000,390.0000,394.0000,0.0102,32,1,2,optimal,Risolto con Tagli
inst_SMALL_UFL_2,BEST,0.0259,0.0057,348.0000,339.0000,346.0000,0.0201,36,2,83,optimal,Limite Raggiunto (Gap Residuo)
inst_SMALL_UFL_3,BEST,0.0118,0.0000,424.0000,419.0000,423.9965,0.0118,196,5,1783,optimal,Risolto con Tagli
inst_SMALL_UFL_4,BEST,0.0000,0.0000,349.0000,349.0000,349.0000,0.0000,0,0,2,optimal,LP Ottimo Intero
