instance_name,cut_mode,initial_gap,final_gap,gap_closure,total_cuts,total_iterations,total_time_ms,final_status,solution_category
LARGE_UFL_instance_0e98fdbf,GFC,0.0666,0.0663,0.0003,456,1,1400,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_2065a5a9,GFC,0.0495,0.0491,0.0004,489,1,382,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_33353b88,GFC,0.0486,0.0484,0.0002,607,1,412,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_e7545a9b,GFC,0.0506,0.0504,0.0002,476,1,579,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_065bda16,GFC,0.0136,0.0016,0.0121,836,4,1776,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_1200aa77,GFC,0.0220,0.0075,0.0145,536,4,1039,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_1ad6e12d,GFC,0.0000,0.0000,0.0000,0,0,6,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_245eafe4,GFC,0.0000,0.0000,0.0000,0,0,4,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_470c3fe8,GFC,0.0144,0.0013,0.0131,319,4,1482,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_489b4065,GFC,0.0000,0.0000,0.0000,0,0,7,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_573e7400,GFC,0.0000,0.0000,0.0000,0,0,3,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_59fb2758,GFC,0.0332,0.0265,0.0067,721,4,2419,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_7cbc7aa0,GFC,0.0000,0.0000,0.0000,0,0,6,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_8939bc48,GFC,0.0189,0.0088,0.0101,656,4,1814,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_922f56ab,GFC,0.0000,0.0000,0.0000,0,0,3,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_964e121b,GFC,0.0142,0.0000,0.0142,380,4,1299,optimal,Risolto con Tagli
MEDIUM_UFL_instance_976d851c,GFC,0.0000,0.0000,0.0000,0,0,4,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_a4c50fe2,GFC,0.0000,0.0000,0.0000,0,0,3,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_a5b0d7fc,GFC,0.0000,0.0000,0.0000,0,0,8,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_b03aae2c,GFC,0.0149,0.0017,0.0132,569,4,2140,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_bb362a12,GFC,0.0000,0.0000,0.0000,0,0,4,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_cd72678f,GFC,0.0000,0.0000,0.0000,0,0,8,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_dc9b0374,GFC,0.0079,0.0000,0.0079,16,1,5,optimal,Risolto con Tagli
MEDIUM_UFL_instance_e13b4c31,GFC,0.0214,0.0017,0.0197,543,6,1747,optimal,Limite Raggiunto (Gap Residuo)
SMALL_UFL_instance_4c5e54b6,GFC,0.0000,0.0000,0.0000,0,0,0,optimal,LP Ottimo Intero
SMALL_UFL_instance_51b298d0,GFC,0.0489,0.0204,0.0285,658,5,696,optimal,Limite Raggiunto (Gap Residuo)
SMALL_UFL_instance_653c6932,GFC,0.0143,0.0000,0.0143,210,5,430,optimal,Limite Raggiunto (Gap Residuo)
SMALL_UFL_instance_6faaf0c6,GFC,0.0000,0.0000,0.0000,0,0,1,optimal,LP Ottimo Intero
SMALL_UFL_instance_7901a858,GFC,0.0000,0.0000,0.0000,0,0,0,optimal,LP Ottimo Intero
SMALL_UFL_instance_7fb7f8e4,GFC,0.0009,0.0000,0.0009,47,1,2,optimal,Risolto con Tagli
SMALL_UFL_instance_84436f99,GFC,0.0000,0.0000,0.0000,0,0,1,optimal,LP Ottimo Intero
SMALL_UFL_instance_a3e14f7d,GFC,0.0200,0.0002,0.0198,170,4,220,optimal,Limite Raggiunto (Gap Residuo)
SMALL_UFL_instance_a96a71e7,GFC,0.0000,0.0000,0.0000,0,0,0,optimal,LP Ottimo Intero
SMALL_UFL_instance_d6937c73,GFC,0.0000,0.0000,0.0000,0,0,1,optimal,LP Ottimo Intero
cap101,GFC,0.0000,0.0000,0.0000,0,0,2,optimal,LP Ottimo Intero
cap102,GFC,0.0000,0.0000,0.0000,0,0,3,optimal,LP Ottimo Intero
cap103,GFC,0.0000,0.0000,0.0000,0,0,4,optimal,LP Ottimo Intero
cap104,GFC,0.0000,0.0000,0.0000,0,0,3,optimal,LP Ottimo Intero
cap111,GFC,0.0000,0.0000,0.0000,0,0,26,optimal,LP Ottimo Intero
cap112,GFC,0.0000,0.0000,0.0000,0,0,24,optimal,LP Ottimo Intero
cap113,GFC,0.0000,0.0000,0.0000,0,0,25,optimal,LP Ottimo Intero
cap114,GFC,0.0000,0.0000,0.0000,0,0,28,optimal,LP Ottimo Intero
cap121,GFC,0.0000,0.0000,0.0000,0,0,26,optimal,LP Ottimo Intero
cap122,GFC,0.0000,0.0000,0.0000,0,0,25,optimal,LP Ottimo Intero
cap123,GFC,0.0000,0.0000,0.0000,0,0,25,optimal,LP Ottimo Intero
cap124,GFC,0.0000,0.0000,0.0000,0,0,26,optimal,LP Ottimo Intero
cap131,GFC,0.0000,0.0000,0.0000,0,0,25,optimal,LP Ottimo Intero
