instance_name,cut_mode,initial_gap,final_gap,optimal_solution,initial_lp_solution,final_lp_solution,gap_closure,total_cuts,total_iterations,total_time_ms,final_status,solution_category
LARGE_UFL_instance_0e98fdbf,GMI,0.0666,0.0651,8953.0000,8356.9006,8370.3248,0.0015,456,1,927,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_2065a5a9,GMI,0.0495,0.0477,7695.0000,7314.1243,7328.2508,0.0018,489,1,628,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_33353b88,GMI,0.0486,0.0473,8512.0000,8098.5248,8109.6152,0.0013,607,1,718,optimal,Limite Raggiunto (Gap Residuo)
LARGE_UFL_instance_e7545a9b,GMI,0.0506,0.0489,7910.0000,7509.5434,7523.1132,0.0017,476,1,980,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_065bda16,GMI,0.0136,0.0000,1248.0000,1231.0000,1248.0000,0.0136,309,3,781,optimal,Risolto con Tagli
MEDIUM_UFL_instance_1200aa77,GMI,0.0220,0.0001,1135.0000,1110.0000,1134.8913,0.0219,658,5,1833,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_1ad6e12d,GMI,0.0000,0.0000,1136.0000,1136.0000,1136.0000,0.0000,0,0,7,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_245eafe4,GMI,0.0000,0.0000,1139.0000,1139.0000,1139.0000,0.0000,0,0,6,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_470c3fe8,GMI,0.0144,0.0005,1315.0000,1296.0000,1314.3846,0.0140,320,4,1651,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_489b4065,GMI,0.0000,0.0000,1321.0000,1321.0000,1321.0000,0.0000,0,0,14,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_573e7400,GMI,0.0000,0.0000,1102.0000,1102.0000,1102.0000,0.0000,0,0,6,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_59fb2758,GMI,0.0332,0.0113,1345.0000,1300.3333,1329.8426,0.0219,530,3,1415,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_7cbc7aa0,GMI,0.0000,0.0000,1169.0000,1169.0000,1169.0000,0.0000,0,0,11,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_8939bc48,GMI,0.0189,0.0003,1483.0000,1455.0000,1482.4912,0.0185,538,3,1448,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_922f56ab,GMI,0.0000,0.0000,1122.0000,1122.0000,1122.0000,0.0000,0,0,5,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_964e121b,GMI,0.0142,0.0000,1479.0000,1458.0000,1479.0000,0.0142,380,4,1470,optimal,Risolto con Tagli
MEDIUM_UFL_instance_976d851c,GMI,0.0000,0.0000,1244.0000,1244.0000,1244.0000,0.0000,0,0,8,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_a4c50fe2,GMI,0.0000,0.0000,1083.0000,1083.0000,1083.0000,0.0000,0,0,4,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_a5b0d7fc,GMI,0.0000,0.0000,1325.0000,1325.0000,1325.0000,0.0000,0,0,15,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_b03aae2c,GMI,0.0149,0.0000,1429.0000,1407.6667,1429.0000,0.0149,613,4,2465,optimal,Risolto con Tagli
MEDIUM_UFL_instance_bb362a12,GMI,0.0000,0.0000,1417.0000,1417.0000,1417.0000,0.0000,0,0,9,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_cd72678f,GMI,0.0000,0.0000,1191.0000,1191.0000,1191.0000,0.0000,0,0,23,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_dc9b0374,GMI,0.0079,0.0000,1207.0000,1197.5000,1207.0000,0.0079,16,1,11,optimal,Risolto con Tagli
MEDIUM_UFL_instance_e13b4c31,GMI,0.0214,0.0017,1354.0000,1325.0000,1351.6429,0.0197,543,6,2084,optimal,Limite Raggiunto (Gap Residuo)
SMALL_UFL_instance_4c5e54b6,GMI,0.0000,0.0000,245.0000,245.0000,245.0000,0.0000,0,0,1,optimal,LP Ottimo Intero
SMALL_UFL_instance_51b298d0,GMI,0.0489,0.0000,424.0000,403.2500,423.9912,0.0489,107,2,101,optimal,Limite Raggiunto (Gap Residuo)
SMALL_UFL_instance_653c6932,GMI,0.0143,0.0009,419.0000,413.0000,418.6250,0.0134,41,1,2,optimal,Limite Raggiunto (Gap Residuo)
SMALL_UFL_instance_6faaf0c6,GMI,0.0000,0.0000,352.0000,352.0000,352.0000,0.0000,0,0,1,optimal,LP Ottimo Intero
SMALL_UFL_instance_7901a858,GMI,0.0000,0.0000,304.0000,304.0000,304.0000,0.0000,0,0,0,optimal,LP Ottimo Intero
SMALL_UFL_instance_7fb7f8e4,GMI,0.0009,0.0009,375.0000,374.6667,374.6667,0.0000,0,1,2,optimal,Limite Raggiunto (Gap Residuo)
SMALL_UFL_instance_84436f99,GMI,0.0000,0.0000,380.0000,380.0000,380.0000,0.0000,0,0,3,optimal,LP Ottimo Intero
SMALL_UFL_instance_a3e14f7d,GMI,0.0200,0.0110,425.0000,416.5000,420.3333,0.0090,17,2,56,optimal,Limite Raggiunto (Gap Residuo)
SMALL_UFL_instance_a96a71e7,GMI,0.0000,0.0000,301.0000,301.0000,301.0000,0.0000,0,0,1,optimal,LP Ottimo Intero
SMALL_UFL_instance_d6937c73,GMI,0.0000,0.0000,399.0000,399.0000,399.0000,0.0000,0,0,1,optimal,LP Ottimo Intero
cap101,GMI,0.0000,0.0000,796648.4375,796648.4375,796648.4375,0.0000,0,0,4,optimal,LP Ottimo Intero
cap102,GMI,0.0000,0.0000,854704.2000,854704.2000,854704.2000,0.0000,0,0,6,optimal,LP Ottimo Intero
cap103,GMI,0.0000,0.0000,893782.1125,893782.1125,893782.1125,0.0000,0,0,6,optimal,LP Ottimo Intero
